d_total,epoch,g_cls,g_fm,g_gan,g_l1,g_perc,g_style,g_total,sec,val_FID,val_LPIPS,val_PSNR,val_SSIM,val_g_l1,val_g_perc,val_g_total
1.2007622760844179,1,2.038712170271747,0.0,4.977682426439977,0.26472202957138025,13.836480735677533,0.0,55.867118527403974,129.8,,,,,,,
1.1313338018294457,2,1.7742818451560705,0.0,5.221428290800711,0.25392459092282615,13.22737234250634,0.0,53.76442210864177,107.5,303.053466796875,0.622408123493463,14.98529052734375,0.49706968665122986,0.23768298190360737,10.157099996994088,39.328838546276764
1.1475430902060682,3,1.6842920405674824,0.0,5.250298264543567,0.25055873230824954,13.224557368101271,0.0,53.42840376575436,110.9,,,,,,,
1.1416753136214957,4,1.5826787584650832,0.0,5.297639603899643,0.24596568379979744,13.166275298700924,0.0,52.890123675354815,113.1,217.34854125976562,0.5603925562763832,15.626374244689941,0.5109334588050842,0.22418561152528785,9.714336157818092,37.363521237659214
1.134963918114658,5,1.5015915534665099,0.0,5.404921152686651,0.2425977461600462,13.151158639815002,0.0,52.61664977537847,113.5,,,,,,,
1.1435835178842586,6,1.3984347655709866,0.0,5.408211511320772,0.24021868679705446,13.199208368242314,0.0,52.42255799960246,111.9,168.96958923339844,0.5143408446103259,15.388330459594727,0.4697872996330261,0.2299320930633416,10.068373695179472,38.53131483542627
1.163729943269122,7,1.327813822347506,0.0,5.295251235761474,0.23527116946612311,13.24937909894285,0.0,51.94351686629574,110.9,,,,,,,
1.2030164667331011,8,1.2480976650145201,0.0,5.104615388718327,0.2324407938208464,13.260010871212039,0.0,51.467998323187366,113.8,142.87049865722656,0.5367150541312118,16.14702606201172,0.4840642809867859,0.22561793545585535,9.967291985234509,37.98401880693744
1.2195419106731373,9,1.1563317997925049,0.0,5.029723218057008,0.22834218018152544,13.259095682507068,0.0,50.971620838199044,110.2,,,,,,,
1.2378234923281501,10,1.0797355542272593,0.0,4.99852868228887,0.22433498394634344,13.287917780137695,0.0,50.6008987046976,109.2,128.89259338378906,0.49898177843311287,16.138784408569336,0.46721628308296204,0.222281538061179,10.377276534836895,38.53707611456811
1.2421567437395584,11,1.0076797808297968,0.0,4.975185432792765,0.22149070721548214,13.293992064695443,0.0,50.2901061024286,115.2,,,,,,,
1.2472194903324136,12,0.9491386937422562,0.0,4.985915227537662,0.2185882433622548,13.308837945482372,0.0,50.0397894065992,119.4,136.70761108398438,0.4925088575406038,15.996274948120117,0.5092675089836121,0.21885288051910678,9.934385535215748,37.37700151196004
1.2587292489092963,13,0.8795324632881489,0.0,4.9485080039079214,0.2150569098581255,13.310915227484914,0.0,49.654423764321656,119.6,,,,,,,
1.2674470463421492,14,0.8279072119467026,0.0,4.937285875060917,0.21311826588569488,13.33136982094925,0.0,49.477394211608754,125.2,123.577880859375,0.49412206940136927,16.202665328979492,0.5097500085830688,0.21906327931202535,10.031960439420303,37.58898322380263
1.3004726807759925,15,0.7653673609174723,0.0,4.813978546224864,0.20892859634374622,13.308304013404172,0.0,48.91024175154424,119.6,,,,,,,
1.3147425704297766,16,0.6963163974109741,0.0,4.723255046173534,0.2051080781636776,13.294018348761364,0.0,48.416254448679695,118.7,120.38272094726562,0.48850183321863977,16.091005325317383,0.5090976357460022,0.21878342174020848,10.137256833858098,37.777187406932875
1.3175990038213476,17,0.6713592519208921,0.0,4.722639216258463,0.20282506835605718,13.357173808380566,0.0,48.334351759041304,120.1,,,,,,,
1.3282201288152584,18,0.6096198436004662,0.0,4.673823404364882,0.2000834099717636,13.356806185393207,0.0,48.003728436157765,116.2,123.15909576416016,0.47103199970460496,16.07994842529297,0.5257924199104309,0.2161709429712454,9.932405577019976,37.15848659173959
1.3332789660291333,19,0.5626671699708147,0.0,4.669385217196118,0.1971877872680141,13.34607813210614,0.0,47.69923161405378,121.7,,,,,,,
1.3350702768142244,20,0.5352610976608322,0.0,4.6640398170040775,0.1962677046442322,13.351611795678602,0.0,47.60394091732734,120.0,119.76889038085938,0.4785690722735942,16.527982711791992,0.4984481632709503,0.20764858234760764,10.302012098932682,37.21591078567398
1.338791973493268,21,0.5122857677989301,0.0,4.662503100074498,0.19405528948337367,13.371457657982818,0.0,47.44212740079492,118.8,,,,,,,
1.3410858860058068,22,0.4585372982546687,0.0,4.622499124666231,0.1918157628382993,13.393139384489144,0.0,47.212576288037596,115.6,135.72816467285156,0.4838171360058547,16.219175338745117,0.49900850653648376,0.21252509559036276,10.550780133666906,38.10356791456283
1.3426166926469423,23,0.4243784590945703,0.0,4.631857813195845,0.1897062215525492,13.406410213592833,0.0,47.045554477556614,111.7,,,,,,,
1.351361958985835,24,0.4086144480491634,0.0,4.604031107330744,0.18837952603940414,13.407388653375406,0.0,46.89778511292111,108.5,130.7621307373047,0.4519512976034574,16.566003799438477,0.5240648984909058,0.20599300544965848,10.119578712177116,36.71859786032691
1.3567633451481835,25,0.36756084578326054,0.0,4.570415216737089,0.18592193332063942,13.419924493384572,0.0,46.65157985265276,106.8,,,,,,,
1.3585654011210508,26,0.3536382924880734,0.0,4.573413913756346,0.18420431298096623,13.406495604894857,0.0,46.47638861267968,106.9,125.13703918457031,0.45411982511236,16.41653060913086,0.5111868977546692,0.21251611951334926,10.368588961012895,37.73846748309373
1.36159269729283,27,0.34050971575378053,0.0,4.56927497144294,0.1842300760584463,13.429491914479078,0.0,46.50717479992757,106.3,,,,,,,
1.3637452904893235,28,0.305997689411176,0.0,4.544834678679441,0.18198389348170135,13.434162675806906,0.0,46.27786924142753,115.3,110.80142974853516,0.45550492282588817,16.48996353149414,0.5181940793991089,0.20758528330109335,10.469497841477494,37.545818347042456
1.366830611716857,29,0.2910040106657332,0.0,4.56330048774196,0.18093493861863308,13.450836298740015,0.0,46.230772261070996,116.5,,,,,,,
1.3683560918522093,30,0.2547591214884171,0.0,4.509536297447913,0.1783428685327547,13.440212299338484,0.0,45.91214953903604,114.6,122.13333892822266,0.4717314295405708,16.141965866088867,0.5375123620033264,0.20959946201983687,9.930228313593135,36.62841358877322
1.3731578055736238,31,0.25049940237066654,0.0,4.540580357070517,0.1779721455351837,13.42784631832511,0.0,45.88454405396386,111.1,,,,,,,
